Sample Name,True Sample Name,Sample Type,Replicate,Cells/Singlets | Count,Cells/Singlets/a-FLAG_AF647(+) | Count,Cells/Singlets/a-FLAG_AF647(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (Ratio_AF488_AF647),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Count,Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (Ratio_AF488_AF647)
PDL1_variant2025-11-25.0045.mqd,pdl1_249,Experimental Sample,1,16514,16276.0,98.6,28.1,5.26,0.19,24.0,0.15,65.3,142.0,2.18
PDL1_variant2025-11-25.0046.mqd,pdl1_380,Experimental Sample,1,17878,17638.0,98.7,30.3,5.11,0.17,25.0,0.14,87.5,131.0,1.49
PDL1_variant2025-11-25.0047.mqd,pdl1_021,Experimental Sample,1,13495,13373.0,99.1,40.2,5.27,0.13,23.0,0.17,75.9,130.0,1.71
PDL1_variant2025-11-25.0048.mqd,pdl1_063,Experimental Sample,1,14291,8888.0,62.2,6.28,6.32,1.01,73.0,0.82,14.0,137.0,9.83
PDL1_variant2025-11-25.0049.mqd,pdl1_103,Experimental Sample,1,13577,13228.0,97.4,23.3,5.99,0.26,62.0,0.47,69.7,140.0,2.0
PDL1_variant2025-11-25.0050.mqd,pdl1_132,Experimental Sample,1,18131,13851.0,76.4,9.26,5.16,0.56,14.0,0.1,18.8,170.0,9.03
PDL1_variant2025-11-25.0051.mqd,pdl1_192,Experimental Sample,1,20139,1815.0,9.01,2.0,6.13,3.06,22.0,1.21,9.74,145.0,14.9
PDL1_variant2025-11-25.0052.mqd,pdl1_254,Experimental Sample,1,18147,5682.0,31.3,4.63,5.1,1.1,39.0,0.69,13.3,150.0,11.3
PDL1_variant2025-11-25.0053.mqd,pdl1_413,Experimental Sample,1,22628,1731.0,7.65,6.14,6.14,1.0,47.0,2.72,4.0,158.0,39.4
PDL1_variant2025-11-25.0054.mqd,pdl1_025,Experimental Sample,1,15050,5038.0,33.5,5.89,5.5,0.93,13.0,0.26,10.0,143.0,14.2
PDL1_variant2025-11-25.0055.mqd,pdl1_068,Experimental Sample,1,16659,2206.0,13.2,2.31,6.4,2.77,27.0,1.22,11.2,117.0,10.4
PDL1_variant2025-11-25.0056.mqd,pdl1_104,Experimental Sample,1,15923,11908.0,74.8,6.72,5.54,0.82,41.0,0.34,9.63,133.0,13.8
PDL1_variant2025-11-25.0057.mqd,pdl1_134,Experimental Sample,1,13550,13253.0,97.8,23.9,4.87,0.2,17.0,0.13,40.9,135.0,3.29
PDL1_variant2025-11-25.0058.mqd,pdl1_193,Experimental Sample,1,12529,12374.0,98.8,31.8,4.91,0.15,19.0,0.15,47.2,109.0,2.31
PDL1_variant2025-11-25.0059.mqd,pdl1_308,Experimental Sample,1,18232,11634.0,63.8,7.85,5.46,0.7,23.0,0.2,7.56,118.0,15.6
PDL1_variant2025-11-25.0060.mqd,pdl1_429,Experimental Sample,1,17216,16792.0,97.5,17.3,4.66,0.27,34.0,0.2,32.5,150.0,4.61
PL008_PDL12025-11-25.0001.mqd,FLAG-tag + PDL1,Negative Control,1,17905,10595.0,59.2,5.89,5.73,0.97,49.0,0.46,5.05,117.0,23.3
PL008_PDL12025-11-25.0002.mqd,FLAG-tag + PDL1,Negative Control,2,15013,9483.0,63.2,5.82,5.77,0.99,19.0,0.2,6.14,116.0,18.8
PL008_PDL12025-11-25.0003.mqd,FLAG-tag + PDL1,Negative Control,3,16193,8167.0,50.4,5.47,5.91,1.08,22.0,0.27,5.08,119.0,23.5
PL008_TSHR2025-11-25.0001.mqd,FLAG-tag + TSHR,Negative Control,1,15911,10313.0,64.8,6.23,5.82,0.93,21.0,0.2,9.5,135.0,14.1
PL008_TSHR2025-11-25.0002.mqd,FLAG-tag + TSHR,Negative Control,2,16210,6358.0,39.2,4.92,5.79,1.18,11.0,0.17,3.52,118.0,33.5
PL008_TSHR2025-11-25.0003.mqd,FLAG-tag + TSHR,Negative Control,3,19575,7007.0,35.8,4.73,5.65,1.2,46.0,0.66,4.71,119.0,25.3
PL0012025-11-25.0001.mqd,a-His + TSHR-His,Positive Control,1,19780,2652.0,13.4,5.41,12.3,2.27,130.0,4.9,271.0,121.0,0.45
PL0012025-11-25.0002.mqd,a-His + TSHR-His,Positive Control,2,18661,1947.0,10.4,5.83,14.8,2.53,150.0,7.7,185.0,120.0,0.65
PL0012025-11-25.0003.mqd,a-His + TSHR-His,Positive Control,3,18285,1779.0,9.73,5.09,14.2,2.78,106.0,5.96,128.0,119.0,0.93
PL0042025-11-25.0001.mqd,K1-70 + TSHR-His,Positive Control,1,16509,16344.0,99.0,29.6,6.63,0.22,213.0,1.3,1636.0,146.0,0.089
PL0042025-11-25.0002.mqd,K1-70 + TSHR-His,Positive Control,2,18180,17311.0,95.2,14.3,6.13,0.43,164.0,0.95,1502.0,141.0,0.094
PL0042025-11-25.0003.mqd,K1-70 + TSHR-His,Positive Control,3,21031,7122.0,33.9,5.11,6.28,1.23,66.0,0.93,72.1,137.0,1.91
PL0982025-11-25.0001.mqd,PDL1_b4,Positive Control,1,20875,13980.0,67.0,5.73,5.63,0.98,54.0,0.39,8.63,123.0,14.3
PL0982025-11-25.0002.mqd,PDL1_b4,Positive Control,2,20587,8744.0,42.5,4.9,5.82,1.19,47.0,0.54,7.24,132.0,18.2
PL0982025-11-25.0003.mqd,PDL1_b4,Positive Control,3,18818,5056.0,26.9,4.9,6.02,1.23,27.0,0.53,6.01,138.0,23.0
PL0992025-11-25.0001.mqd,PDL1_b201,Positive Control,1,17137,5929.0,34.6,4.5,6.06,1.35,26.0,0.44,7.51,137.0,18.3
PL0992025-11-25.0002.mqd,PDL1_b201,Positive Control,2,15123,4709.0,31.1,4.65,6.25,1.34,41.0,0.87,5.1,132.0,26.0
PL0992025-11-25.0003.mqd,PDL1_b201,Positive Control,3,16908,5885.0,34.8,4.89,6.01,1.23,27.0,0.46,3.75,126.0,33.6
mock_FLAG2025-11-25.0001.mqd,Mock + FLAG(AF647),Negative Control,1,34028,98.0,0.29,2.19,5.91,2.7,1.0,1.02,1.2,89.1,74.0
mock_FLAG2025-11-25.0002.mqd,Mock + FLAG(AF647),Negative Control,2,30617,176.0,0.57,2.51,4.29,1.71,1.0,0.57,1.6,107.0,67.3
mock_His2025-11-25.0001.mqd,Mock + His(AF488),Negative Control,1,32992,52.0,0.16,5.75,5.25,0.91,1.0,1.92,3.88,151.0,38.7
mock_His2025-11-25.0002.mqd,Mock + His(AF488),Negative Control,2,31907,25.0,0.078,6.17,8.52,1.38,1.0,4.0,5.72,106.0,18.4
mock2025-11-25.0001.mqd,Mock Unlabeled,Negative Control,1,30127,7.0,0.023,1.46,30.3,20.7,0.0,0.0,,,
mock2025-11-25.0002.mqd,Mock Unlabeled,Negative Control,2,34558,7.0,0.02,1.33,16.2,12.2,0.0,0.0,,,
mock2025-11-25.0003.mqd,Mock Unlabeled,Negative Control,3,35231,3.0,0.00852,1.18,22.5,19.1,0.0,0.0,,,
