Sample Name,True Sample Name,Sample Type,Replicate,Cells/Singlets | Count,Cells/Singlets/a-FLAG_AF647(+) | Count,Cells/Singlets/a-FLAG_AF647(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (Ratio_AF488_AF647),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Count,Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (Ratio_AF488_AF647)
IL7Ra_variant2025-11-25.0021.mqd,il7ra_137,Experimental Sample,1,20464,19003.0,92.9,10.2,4.99,0.49,40.0,0.21,24.3,171.0,7.04
IL7Ra_variant2025-11-25.0022.mqd,il7ra_231,Experimental Sample,1,17839,1030.0,5.77,2.72,6.56,2.41,41.0,3.98,3.52,235.0,66.6
IL7Ra_variant2025-11-25.0023.mqd,il7ra_304,Experimental Sample,1,16629,9363.0,56.3,4.39,5.24,1.19,35.0,0.37,6.61,193.0,29.2
IL7Ra_variant2025-11-25.0024.mqd,il7ra_399,Experimental Sample,1,15624,11767.0,75.3,5.35,5.78,1.08,74.0,0.63,9.75,159.0,16.3
IL7Ra_variant2025-11-25.0025.mqd,il7ra_454,Experimental Sample,1,11574,11025.0,95.3,13.6,6.37,0.47,60.0,0.54,14.1,145.0,10.3
IL7Ra_variant2025-11-25.0026.mqd,il7ra_070,Experimental Sample,1,19706,7847.0,39.8,3.46,5.43,1.57,53.0,0.68,6.08,184.0,30.2
IL7Ra_variant2025-11-25.0027.mqd,il7ra_171,Experimental Sample,1,17576,1663.0,9.46,2.11,6.83,3.23,49.0,2.95,3.6,190.0,52.9
IL7Ra_variant2025-11-25.0028.mqd,il7ra_243,Experimental Sample,1,17577,1504.0,8.56,4.28,6.49,1.52,39.0,2.59,3.66,163.0,44.4
IL7Ra_variant2025-11-25.0029.mqd,il7ra_307,Experimental Sample,1,21227,15320.0,72.2,5.35,4.97,0.93,61.0,0.4,12.1,168.0,13.9
IL7Ra_variant2025-11-25.0030.mqd,il7ra_404,Experimental Sample,1,14265,13775.0,96.6,16.1,5.77,0.36,66.0,0.48,50.5,148.0,2.93
IL7Ra_variant2025-11-25.0031.mqd,il7ra_466,Experimental Sample,1,17354,14852.0,85.6,6.95,5.4,0.78,39.0,0.26,16.8,232.0,13.8
IL7Ra_variant2025-11-25.0032.mqd,il7ra_099,Experimental Sample,1,19130,13314.0,69.6,5.99,5.41,0.9,40.0,0.3,12.2,187.0,15.3
IL7Ra_variant2025-11-25.0033.mqd,il7ra_172,Experimental Sample,1,19015,9054.0,47.6,4.63,5.49,1.19,38.0,0.42,11.1,178.0,16.0
IL7Ra_variant2025-11-25.0034.mqd,il7ra_254,Experimental Sample,1,17708,16420.0,92.7,10.7,5.07,0.48,28.0,0.17,17.1,153.0,8.92
IL7Ra_variant2025-11-25.0035.mqd,il7ra_322,Experimental Sample,1,17255,16407.0,95.1,14.3,4.96,0.35,48.0,0.29,16.2,164.0,10.1
IL7Ra_variant2025-11-25.0036.mqd,il7ra_417,Experimental Sample,1,17147,15066.0,87.9,7.91,5.1,0.64,40.0,0.27,13.2,165.0,12.5
IL7Ra_variant2025-11-25.0037.mqd,il7ra_470,Experimental Sample,1,16350,15125.0,92.5,9.54,5.43,0.57,46.0,0.3,23.9,173.0,7.23
IL7Ra_variant2025-11-25.0038.mqd,il7ra_100,Experimental Sample,1,16644,12326.0,74.1,5.31,5.4,1.02,31.0,0.25,11.7,217.0,18.6
IL7Ra_variant2025-11-25.0039.mqd,il7ra_177,Experimental Sample,1,18434,11077.0,60.1,4.55,5.28,1.16,22.0,0.2,18.6,188.0,10.1
IL7Ra_variant2025-11-25.0040.mqd,il7ra_256,Experimental Sample,1,15496,14624.0,94.4,13.3,5.17,0.39,46.0,0.31,40.6,154.0,3.8
IL7Ra_variant2025-11-25.0041.mqd,il7ra_337,Experimental Sample,1,16508,15521.0,94.0,11.4,4.91,0.43,40.0,0.26,19.2,158.0,8.24
IL7Ra_variant2025-11-25.0042.mqd,il7ra_418,Experimental Sample,1,15172,13805.0,91.0,9.03,5.12,0.57,41.0,0.3,18.6,191.0,10.2
IL7Ra_variant2025-11-25.0043.mqd,il7ra_471,Experimental Sample,1,14963,12881.0,86.1,7.48,5.29,0.71,38.0,0.3,16.5,173.0,10.5
IL7Ra_variant2025-11-25.0044.mqd,il7ra_115,Experimental Sample,1,10683,10540.0,98.7,29.8,5.36,0.18,15.0,0.14,129.0,155.0,1.21
IL7Ra_variant2025-11-25.0045.mqd,il7ra_181,Experimental Sample,1,11726,11611.0,99.0,29.5,5.33,0.18,17.0,0.15,37.1,160.0,4.31
IL7Ra_variant2025-11-25.0046.mqd,il7ra_261,Experimental Sample,1,11522,11319.0,98.2,20.2,5.2,0.26,27.0,0.24,35.2,173.0,4.91
IL7Ra_variant2025-11-25.0047.mqd,il7ra_351,Experimental Sample,1,18846,2543.0,13.5,3.44,5.87,1.71,44.0,1.73,4.56,181.0,39.8
IL7Ra_variant2025-11-25.0048.mqd,il7ra_427,Experimental Sample,1,12937,11144.0,86.1,7.47,5.19,0.7,42.0,0.38,19.8,149.0,7.52
IL7Ra_variant2025-11-25.0049.mqd,il7ra_493,Experimental Sample,1,13417,12012.0,89.5,8.24,5.21,0.63,18.0,0.15,8.38,149.0,17.8
PL008_IL7Ra2025-11-25.0001.mqd,FLAG-tag + IL7Ra,Negative Control,1,14780,10698.0,72.4,5.01,5.71,1.14,28.0,0.26,9.57,151.0,15.7
PL008_IL7Ra2025-11-25.0002.mqd,FLAG-tag + IL7Ra,Negative Control,2,16585,5465.0,33.0,3.77,6.06,1.6,30.0,0.55,4.39,177.0,40.3
PL008_IL7Ra2025-11-25.0003.mqd,FLAG-tag + IL7Ra,Negative Control,3,14232,8460.0,59.4,4.35,5.82,1.34,30.0,0.35,4.41,174.0,39.5
PL008_TSHR2025-11-25.0004.mqd,FLAG-tag + TSHR,Negative Control,1,17472,10953.0,62.7,4.76,5.62,1.18,9.0,0.082,17.3,166.0,9.61
PL008_TSHR2025-11-25.0005.mqd,FLAG-tag + TSHR,Negative Control,2,15552,11870.0,76.3,5.79,5.56,0.96,10.0,0.084,20.8,157.0,7.52
PL008_TSHR2025-11-25.0006.mqd,FLAG-tag + TSHR,Negative Control,3,15757,7086.0,45.0,4.2,5.68,1.35,17.0,0.24,5.66,134.0,23.7
PL0012025-11-25.0004.mqd,a-His + TSHR-His,Positive Control,1,19117,3418.0,17.9,3.83,11.2,2.92,153.0,4.48,327.0,119.0,0.36
PL0012025-11-25.0005.mqd,a-His + TSHR-His,Positive Control,2,18295,1960.0,10.7,3.86,11.8,3.05,98.0,5.0,128.0,118.0,0.92
PL0012025-11-25.0006.mqd,a-His + TSHR-His,Positive Control,3,16447,2493.0,15.2,4.12,12.5,3.03,126.0,5.05,245.0,115.0,0.47
PL0042025-11-25.0004.mqd,K1-70 + TSHR-His,Positive Control,1,12576,12502.0,99.4,45.1,7.91,0.18,169.0,1.35,2247.0,159.0,0.071
PL0042025-11-25.0005.mqd,K1-70 + TSHR-His,Positive Control,2,15193,15071.0,99.2,33.5,7.28,0.22,208.0,1.38,2300.0,148.0,0.064
PL0042025-11-25.0006.mqd,K1-70 + TSHR-His,Positive Control,3,18202,17762.0,97.6,16.9,6.53,0.39,241.0,1.36,2047.0,149.0,0.073
PL1032025-11-25.0001.mqd,IL7,Positive Control,1,20008,8640.0,43.2,3.89,6.49,1.67,65.0,0.75,64.8,164.0,2.53
PL1032025-11-25.0002.mqd,IL7,Positive Control,2,20031,6631.0,33.1,3.64,6.51,1.79,63.0,0.95,56.0,165.0,2.95
PL1032025-11-25.0003.mqd,IL7,Positive Control,3,19016,6123.0,32.2,3.78,6.78,1.8,75.0,1.22,36.3,182.0,5.02
PL1042025-11-25.0001.mqd,IL7Rnano,Positive Control,1,17933,13354.0,74.5,5.79,6.42,1.11,214.0,1.6,698.0,177.0,0.25
PL1042025-11-25.0002.mqd,IL7Rnano,Positive Control,2,15943,14006.0,87.9,7.47,6.09,0.81,175.0,1.25,855.0,168.0,0.2
PL1042025-11-25.0003.mqd,IL7Rnano,Positive Control,3,17871,11047.0,61.8,4.49,6.02,1.34,77.0,0.7,141.0,170.0,1.2
mock_FLAG2025-11-25.0003.mqd,Mock + FLAG(AF647),Negative Control,1,30619,115.0,0.38,1.91,6.28,3.16,0.0,0.0,,,
mock_FLAG2025-11-25.0004.mqd,Mock + FLAG(AF647),Negative Control,2,32929,126.0,0.38,1.75,6.39,3.65,0.0,0.0,,,
mock_His2025-11-25.0003.mqd,Mock + His(AF488),Negative Control,1,35234,32.0,0.091,3.4,10.4,3.06,1.0,3.12,352.0,101.0,0.29
mock_His2025-11-25.0004.mqd,Mock + His(AF488),Negative Control,2,32932,44.0,0.13,1.8,8.71,4.84,2.0,4.55,2.83,135.0,47.8
mock2025-11-25.0004.mqd,Mock Unlabeled,Negative Control,1,37833,52.0,0.14,3.2,6.02,1.88,0.0,0.0,,,
mock2025-11-25.0005.mqd,Mock Unlabeled,Negative Control,2,35425,15.0,0.042,1.15,12.3,10.7,0.0,0.0,,,
mock2025-11-25.0006.mqd,Mock Unlabeled,Negative Control,3,38646,22.0,0.057,1.2,14.0,11.6,0.0,0.0,,,
