Sample Name,True Sample Name,Sample Type,Replicate,Cells/Singlets | Count,Cells/Singlets/a-FLAG_AF647(+) | Count,Cells/Singlets/a-FLAG_AF647(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (Ratio_AF488_AF647),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Count,Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (Ratio_AF488_AF647)
BWL2025-11-24.0017.mqd,Mock,Negative Control,3,20095,16.0,0.08,6.37,7.45,1.17,1.0,6.25,5.83,77.8,13.4
BWL2025-11-24.0018.mqd,a-His + TSHR,Positive Control,3,12843,2145.0,16.7,10.2,12.8,1.25,228.0,10.6,434.0,116.0,0.27
BWL2025-11-24.0019.mqd,K1-70 + TSHR,Positive Control,3,14380,13917.0,96.8,37.7,6.7,0.18,164.0,1.18,2217.0,105.0,0.047
BWL2025-11-24.0020.mqd,IFNAR2_b5,Positive Control,3,21441,8448.0,39.4,9.46,6.23,0.66,90.0,1.07,178.0,212.0,1.19
BWL2025-11-24.0023.mqd,FLAG + IFNA2R,Negative Control,3,28247,5805.0,20.6,9.1,5.6,0.62,33.0,0.57,8.61,106.0,12.3
BWL2025-11-24.0025.mqd,ifnar2_sequence_4,Experimental Sample,1,17972,14214.0,79.1,14.8,5.39,0.37,34.0,0.24,31.8,114.0,3.58
BWL2025-11-24.0026.mqd,ifnar2_sequence_5,Experimental Sample,1,17029,1863.0,10.9,8.67,5.95,0.69,16.0,0.86,7.43,90.9,12.2
BWL2025-11-24.0027.mqd,ifnar2_sequence_13,Experimental Sample,1,1751,865.0,49.4,17.4,14.7,0.84,33.0,3.82,16.0,96.7,6.04
BWL2025-11-24.0028.mqd,ifnar2_sequence_15,Experimental Sample,1,22581,11973.0,53.0,9.45,5.45,0.58,42.0,0.35,32.8,132.0,4.03
BWL2025-11-24.0029.mqd,ifnar2_sequence_16,Experimental Sample,1,15706,10362.0,66.0,13.5,5.67,0.42,38.0,0.37,18.6,133.0,7.15
BWL2025-11-24.0030.mqd,ifnar2_sequence_17,Experimental Sample,1,19854,18267.0,92.0,19.2,5.58,0.29,61.0,0.33,53.0,125.0,2.36
BWL2025-11-24.0031.mqd,ifnar2_sequence_18,Experimental Sample,1,28713,5293.0,18.4,8.77,5.41,0.62,31.0,0.59,12.2,149.0,12.2
BWL2025-11-24.0032.mqd,ifnar2_sequence_19,Experimental Sample,1,30673,29566.0,96.4,32.0,5.08,0.16,61.0,0.21,102.0,109.0,1.07
BWL2025-11-24.0033.mqd,ifnar2_sequence_20,Experimental Sample,1,10742,9456.0,88.0,18.0,5.59,0.31,23.0,0.24,86.7,176.0,2.03
BWL2025-11-24.0034.mqd,ifnar2_sequence_25,Experimental Sample,1,12981,10209.0,78.6,13.8,5.75,0.42,23.0,0.23,51.2,156.0,3.04
BWL2025-11-24.0035.mqd,ifnar2_sequence_32,Experimental Sample,1,14541,13734.0,94.5,24.9,5.54,0.22,35.0,0.25,93.9,111.0,1.18
BWL2025-11-24.0036.mqd,ifnar2_sequence_36,Experimental Sample,1,24622,9294.0,37.7,9.34,5.61,0.6,39.0,0.42,16.3,122.0,7.5
BWL2025-11-24.0037.mqd,ifnar2_sequence_40,Experimental Sample,1,25225,18544.0,73.5,11.9,5.2,0.44,75.0,0.4,53.7,122.0,2.26
BWL2025-11-24.0038.mqd,ifnar2_sequence_47,Experimental Sample,1,27686,16678.0,60.2,10.2,5.44,0.53,109.0,0.65,50.0,130.0,2.61
BWL2025-11-24.0039.mqd,ifnar2_sequence_53,Experimental Sample,1,9371,7544.0,80.5,16.2,6.8,0.42,61.0,0.81,34.4,119.0,3.46
BWL2025-11-24.0040.mqd,ifnar2_sequence_56,Experimental Sample,1,26543,14360.0,54.1,9.29,5.32,0.57,84.0,0.58,25.6,124.0,4.84
BWL2025-11-24.0041.mqd,ifnar2_sequence_66,Experimental Sample,1,12144,10831.0,89.2,17.5,7.02,0.4,31.0,0.29,93.0,107.0,1.15
BWL2025-11-24.0042.mqd,ifnar2_sequence_67,Experimental Sample,1,17156,12940.0,75.4,12.8,5.67,0.44,43.0,0.33,86.4,113.0,1.3
BWL2025-11-24.0043.mqd,ifnar2_sequence_71,Experimental Sample,1,19492,17971.0,92.2,19.9,5.31,0.27,63.0,0.35,102.0,175.0,1.72
BWL2025-11-24.0044.mqd,ifnar2_sequence_72,Experimental Sample,1,21627,7606.0,35.2,10.2,5.83,0.57,28.0,0.37,9.59,106.0,11.1
BWL2025-11-24.0045.mqd,ifnar2_sequence_76,Experimental Sample,1,19088,7737.0,40.5,9.17,5.63,0.61,39.0,0.5,48.2,125.0,2.6
BWL2025-11-24.0046.mqd,ifnar2_sequence_81,Experimental Sample,1,19675,18288.0,93.0,22.4,5.36,0.24,74.0,0.4,153.0,160.0,1.05
BWL2025-11-24.0047.mqd,ifnar2_sequence_83,Experimental Sample,1,31082,3368.0,10.8,8.31,5.02,0.6,32.0,0.95,9.39,133.0,14.2
BWL2025-11-24.0048.mqd,ifnar2_sequence_84,Experimental Sample,1,23403,4172.0,17.8,8.31,5.07,0.61,15.0,0.36,10.1,117.0,11.5
BWL2025-11-24.0084.mqd,Mock + His(AF488),Negative Control,1,22741,176.0,0.77,9.42,5.48,0.58,1.0,0.57,9.06,62.8,6.93
BWL2025-11-24.0085.mqd,Mock + His(AF488),Negative Control,2,23744,2.0,0.00842,2.51,11.4,4.53,0.0,0.0,,,
BWL2025-11-24.0086.mqd,Mock + FLAG(AF647),Negative Control,1,26699,31.0,0.12,3.42,7.8,2.28,0.0,0.0,,,
BWL2025-11-24.0087.mqd,Mock + Fc(AF488),Negative Control,1,25671,2.0,0.00779,2.31,20.8,8.99,0.0,0.0,,,
BWL2025-11-24.0088.mqd,Mock + Fc(AF488),Negative Control,2,16100,3.0,0.019,2.97,17.7,5.95,0.0,0.0,,,
